"서울","사립",40,821,24982,12138,957,539,315,124,4611,2245,4058,1971,853,842,11,40,826,25152,12259,987,554,301,114,4552,2201,3881,1842,843,834,9,40,826,24848,12158,1000,573,303,118,4381,2084,3927,1870,834,827,7,40,828,24685,12074,1027,595,299,115,4337,2096,3833,1903,875,875,0,40,829,24467,11982,1010,590,291,108,4286,2115,3745,1856,876,876,-,40,831,24153,11890,1017,597,297,113,4252,2120,3797,1893,881,876,5,40,828,23657,11688,990,590,298,114,4146,2072,3894,1931,872,867,5,40,820,23098,11452,1011,596,300,111,4035,1995,3817,1862,894,889,5,39,810,22647,11284,980,581,293,112,4018,1988,3518,1739,1415,809,153,387,66,39,809,22390,11246,992,604,284,106,3957,1943,3471,1713,1433,807,173,387,66,39,807,21982,11015,1000,609,279,108,3912,1933,3502,1753,1429,809,164,392,64,39,793,21150,10602,968,602,270,103,3701,1844,3394,1741,1440,816,168,392,64,39,786,20908,10524,965,604,265,105,3767,1856,3249,1680,1470,836,173,396,65,39,775,20667,10380,961,608,248,102,3811,1909,3168,1627,1470,829,174,403,64
"부산","계",293,8578,242193,113475,11049,8656,1400,832,36859,17354,46480,21163,8900,8862,38,293,8233,227494,106969,11089,8765,1286,729,32552,15487,45423,21076,8507,8446,61,297,7956,210826,99679,11126,8748,1268,738,27437,13148,43234,19997,8277,8232,45,298,7686,197397,93327,10960,8682,1263,747,27778,13177,40722,19377,7966,7897,69,297,7458,184983,87919,10821,8699,1239,754,26138,12704,38101,17827,7701,7651,50,299,7250,172069,82106,10709,8623,1289,752,23811,11448,36213,17015,7590,7441,149,302,7067,160821,77096,10558,8509,1251,749,24343,11743,36023,17004,7446,7313,133,305,7068,155754,74828,10540,8499,1270,757,26814,12950,31795,15139,7569,7451,118,306,7063,154283,74461,10414,8428,1286,785,25476,12399,27179,12960,10118,7210,507,2275,126,308,6873,151207,73178,10250,8287,1255,782,24306,11781,27693,13194,10026,7176,513,2221,116,308,6840,150863,73047,10173,8242,1255,796,26367,12824,26006,12624,9970,7178,506,2205,81,305,6856,152775,74238,10170,8278,1219,790,26685,13111,23686,11379,9867,7119,549,2111,88,304,6905,155589,75622,10152,8233,1190,805,27395,13313,24006,11602,9927,7180,553,2091,103,304,6914,153527,74717,10148,8200,1191,829,24759,12074,26330,12771,9981,7207,582,2080,112
"부산","국립",1,25,768,384,32,17,5,2,128,64,128,59,25,25,0,1,25,767,384,35,19,4,1,128,64,128,64,25,25,0,1,25,767,384,35,17,3,0,128,64,128,65,25,25,0,1,25,768,384,33,16,3,0,128,64,128,64,25,25,0,1,25,752,377,35,17,2,-,112,56,128,64,25,25,-,1,25,736,369,33,15,2,-,112,56,128,64,25,25,-,1,25,720,360,33,16,2,-,112,56,128,64,25,25,-,1,25,703,352,33,18,2,1,112,56,128,64,25,25,-,1,25,688,344,33,16,1,-,112,56,128,65,38,-,25,13,-,1,25,672,336,33,18,2,1,112,56,128,64,38,-,25,13,-,1,25,672,334,33,17,1,-,112,56,112,56,38,21,4,13,-,1,25,672,336,33,16,0,0,112,56,112,54,36,21,4,11,0,1,25,656,328,33,17,2,1,96,48,111,55,43,24,0,19,0,1,25,640,320,33,18,2,2,96,48,112,57,43,24,-,19,-
"부산","공립",287,8472,239138,111976,10920,8614,1365,820,36303,17066,45972,20906,8791,8753,38,287,8127,224382,105433,10958,8719,1252,720,31987,15209,44941,20848,8394,8333,61,291,7850,207669,98137,10974,8697,1231,729,26846,12858,42745,19751,8164,8119,45,291,7579,194184,91724,10815,8634,1226,739,27153,12873,40239,19152,7847,7778,69,290,7350,181758,86293,10673,8647,1205,746,25542,12402,37627,17602,7582,7532,50,292,7141,168933,80546,10575,8581,1254,744,23257,11162,35718,16753,7471,7322,149,295,6957,157728,75567,10419,8463,1212,737,23799,11471,35557,16770,7329,7196,133,298,6953,152704,73322,10404,8453,1235,748,26292,12700,31339,14917,7452,7334,118,299,6951,151309,72994,10278,8385,1250,776,24961,12161,26699,12726,9920,7123,471,2205,121,301,6760,148256,71739,10115,8238,1228,774,23763,11516,27200,12949,9816,7083,473,2149,111,301,6727,147925,71605,10035,8193,1220,788,25775,12528,25537,12384,9760,7064,487,2133,76,298,6744,149819,72789,10029,8229,1183,780,26142,12851,23249,11168,9659,7005,530,2041,83,297,6793,152617,74154,10013,8182,1156,795,26853,13047,23585,11394,9712,7063,538,2013,98,297,6803,150554,73239,10009,8144,1158,818,24208,11799,25897,12561,9766,7090,567,2002,107
"부산","사립",5,81,2287,1115,97,25,30,10,428,224,380,198,84,84,0,5,81,2345,1152,96,27,30,8,437,214,354,164,88,88,0,5,81,2390,1158,117,34,34,9,463,226,361,181,88,88,0,6,82,2445,1219,112,32,34,8,497,240,355,161,94,94,0,6,83,2473,1249,113,35,32,8,484,246,346,161,94,94,-,6,84,2400,1191,101,27,33,8,442,230,367,198,94,94,-,6,85,2373,1169,106,30,37,12,432,216,338,170,92,92,-,6,90,2347,1154,103,28,33,8,410,194,328,158,92,92,-,6,87,2286,1123,103,27,35,9,403,182,352,169,160,87,11,57,5,6,88,2279,1103,102,31,25,7,431,209,365,181,172,93,15,59,5,6,88,2266,1108,105,32,34,8,480,240,357,184,172,93,15,59,5,6,87,2284,1113,108,33,36,10,431,204,325,157,172,93,15,59,5,6,87,2316,1140,106,34,32,9,446,218,310,153,172,93,15,59,5,6,86,2333,1158,106,38,31,9,455,227,321,153,172,93,15,59,5
"대구","계",205,6337,199471,92775,8321,6556,988,676,30561,14338,36994,16680,6342,6328,14,211,6191,189585,88581,8476,6752,919,608,27140,12807,37287,17206,6195,6185,10,215,6141,178029,83075,8666,6972,945,620,23081,10693,35387,16481,6152,6146,6,214,6076,167548,78324,8709,7028,959,648,23721,11262,34666,16284,6135,6121,14,216,6013,157693,74140,8844,7168,943,632,21904,10464,31946,14677,6118,6105,13,217,5965,146899,69169,8860,7221,985,665,20339,9625,31428,14789,6046,6038,8,219,5970,136309,64435,9004,7342,955,654,20163,9674,30859,14457,6062,6053,9,220,5919,131765,62656,8971,7338,991,689,22385,10948,27048,12796,6044,6027,17,221,5821,129583,61973,8869,7271,942,682,20866,10014,23089,10696,7617,5929,294,1357,37,225,5555,125541,60227,8873,7283,907,669,19670,9501,23846,11312,7633,5737,341,1525,30,228,5507,124708,60017,8900,7287,866,657,21056,10164,21997,10459,7771,5721,372,1637,41,229,5473,125160,60552,9039,7406,821,652,21101,10313,20451,9695,7816,5677,398,1688,53,229,5458,126122,61134,9013,7369,771,630,21666,10538,20317,9734,7765,5669,422,1630,44,230,5443,122587,59543,8905,7274,768,637,19377,9564,22294,10875,7712,5676,396,1597,43
"대구","국립",2,44,1344,672,57,33,5,2,224,112,223,107,44,44,0,2,44,1321,661,59,33,4,2,200,100,223,110,44,44,0,2,44,1299,652,59,33,5,2,203,102,224,112,44,44,0,2,44,1276,637,59,33,4,2,201,100,225,114,44,44,0,2,44,1256,627,58,32,5,2,199,100,224,111,44,44,-,2,44,1201,599,59,34,5,2,169,84,223,110,44,44,-,2,44,1142,571,58,31,4,2,168,84,221,109,44,44,-,2,44,1108,553,60,28,4,3,168,84,198,100,44,44,-,2,44,1077,537,59,27,3,2,170,84,199,100,61,43,4,14,-,2,44,1048,522,58,29,3,2,170,85,195,96,61,43,4,14,-,2,44,1014,506,58,27,3,1,172,84,200,100,61,43,4,14,-,2,44,1022,510,58,28,3,2,173,85,165,82,61,43,4,14,0,2,44,1019,506,58,29,3,1,168,84,167,87,61,43,4,14,0,2,44,1014,500,58,26,3,2,169,84,167,84,62,43,-,19,-
"대구","공립",199,6225,195718,90964,8185,6490,969,670,29901,14014,36370,16390,6230,6216,14,205,6078,185749,86765,8337,6684,902,602,26487,12511,36706,16916,6082,6072,10,209,6027,174171,81230,8526,6903,922,614,22446,10380,34759,16184,6038,6032,6,208,5961,163701,76481,8569,6958,937,642,23087,10945,34039,15981,6020,6006,14,210,5897,153891,72302,8705,7101,921,626,21286,10157,31329,14388,6002,5989,13,211,5849,143166,67359,8719,7152,962,659,19746,9344,30779,14486,5929,5921,8,213,5854,132668,62664,8864,7274,932,648,19571,9388,30215,14141,5945,5936,9,214,5803,128174,60884,8829,7274,969,682,21793,10655,26410,12499,5927,5910,17,215,5705,126033,60233,8727,7210,922,676,20272,9735,22491,10398,7440,5814,283,1307,36,219,5439,122028,58523,8734,7222,887,663,19092,9223,23237,11010,7452,5622,330,1471,29,222,5391,121224,58348,8757,7224,846,652,20476,9883,21396,10161,7590,5606,361,1583,40,223,5357,121694,58883,8897,7345,805,646,20536,10043,19882,9420,7634,5562,387,1633,52,223,5342,122729,59512,8871,7305,755,625,21112,10277,19749,9450,7581,5554,411,1573,43,224,5327,119262,57966,8762,7211,752,631,18823,9292,21726,10593,7523,5561,396,1524,42
"대구","사립",4,68,2409,1139,79,33,14,4,436,212,401,183,68,68,0,4,69,2515,1155,80,35,13,4,453,196,358,180,69,69,0,4,70,2559,1193,81,36,18,4,432,211,404,185,70,70,0,4,71,2571,1206,81,37,18,4,433,217,402,189,71,71,0,4,72,2546,1211,81,35,17,4,419,207,393,178,72,72,-,4,72,2532,1211,82,35,18,4,424,197,426,193,73,73,-,4,72,2499,1200,82,37,19,4,424,202,423,207,73,73,-,4,72,2483,1219,82,36,18,4,424,209,440,197,73,73,-,4,72,2473,1203,83,34,17,4,424,195,399,198,116,72,7,36,1,4,72,2465,1182,81,32,17,4,408,193,414,206,120,72,7,40,1,4,72,2470,1163,85,36,17,4,408,197,401,198,120,72,7,40,1,4,72,2444,1159,84,33,13,4,392,185,404,193,121,72,7,41,1,4,72,2374,1116,84,35,13,4,386,177,401,197,123,72,7,43,1,4,72,2311,1077,85,37,13,4,385,188,401,198,127,72,-,54,1
"인천","계",216,6948,214671,102723,9164,6688,1200,814,33366,15985,39880,18750,7483,7479,4,224,7096,205781,98712,9516,7030,1089,729,30276,14575,38977,18603,7230,7227,3,224,7011,193210,92674,9626,7146,1091,746,25827,12414,37209,17829,7195,7185,10,226,6917,183261,88013,9519,7097,1046,705,26695,12921,36585,17738,7130,7120,10,232,6861,173598,83494,9649,7253,1058,713,25307,12208,34139,16388,7157,7150,7,236,6740,164928,79645,9633,7259,1112,751,23882,11569,33309,15896,7127,7117,10,240,6717,157918,76268,9748,7335,1085,749,25038,12011,33353,16052,7150,7128,22,242,6757,156740,75873,9890,7449,1092,747,28185,13720,29819,14381,7175,7150,25,243,6753,157099,76338,9874,7431,1061,715,26563,13039,26198,12605,8802,7148,181,1442,31,247,6772,155590,75629,9967,7490,1048,709,25952,12603,27208,13221,8991,7254,184,1523,30,249,6788,156470,76182,9983,7523,1039,735,27026,13120,25852,12537,9060,7322,220,1502,16,249,6981,158871,77308,10037,7565,1006,720,27361,13257,24127,11699,9148,7485,175,1473,15,250,6995,160853,78290,10026,7559,961,708,27541,13454,24914,11991,9260,7584,158,1505,13,253,6913,156928,76478,10071,7613,947,699,24835,12180,27801,13586,9367,7657,186,1508,16
