"°ú¸ñ ¹× À¯Çü",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"°ú¸ñ ¹× À¯Çü",Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø),Æò  ±Õ (¸¸¿ø)
"»ç±³À°ºñ",22.2,23.3,24.2,24.0,24.0,23.6,23.9,24.2,24.4,25.6,27.2,29.1,32.1
