년도,전국매매가격지수,수도권매매가격지수,서울매매가격지수,출생아수
2020년 5월,106.2,117.1,131.5,319383
2020년 6월,108.1,119.9,135.8,316820
2020년 7월,110.5,124,142.4,314809
2020년 8월,111.9,126.3,147.1,311541
2020년 9월,112.7,127.5,148.7,309318
2020년 10월,114,129,149.9,308219
2020년 11월,116.6,131.4,152.4,306380
2020년 12월,119.7,134.4,155.3,304651
2021년 1월,122.8,139.1,160,300931
2021년 2월,125.2,142.8,162.8,297441
2021년 3월,127,145.5,163.4,294900
2021년 4월,128.6,147.9,164.3,292050
2021년 5월,130.6,151,167.1,289539
2021년 6월,133.6,155.4,170.9,287678
2021년 7월,136.5,160,174.4,285584
2021년 8월,139.8,164.9,177.5,283694
